iter	Passed	Remaining
0	18	18138
1	23	11766
2	26	8900
3	30	7488
4	33	6655
5	43	7196
6	50	7141
7	60	7529
8	67	7450
9	73	7242
10	77	6950
11	81	6730
12	86	6548
13	90	6396
14	95	6250
15	99	6136
16	109	6348
17	114	6255
18	120	6244
19	132	6499
20	137	6400
21	141	6311
22	146	6232
23	153	6228
24	157	6147
25	167	6280
26	173	6242
27	182	6322
28	186	6227
29	188	6108
30	191	5997
31	194	5889
32	197	5792
33	200	5702
34	203	5614
35	206	5527
36	209	5445
37	212	5366
38	214	5293
39	217	5230
40	220	5163
41	223	5098
42	226	5038
43	229	4985
44	232	4933
45	235	4886
46	238	4834
47	241	4782
48	243	4731
49	248	4718
50	252	4705
51	255	4664
52	258	4625
53	261	4587
54	265	4556
55	268	4529
56	271	4496
57	274	4462
58	277	4428
59	280	4396
60	283	4367
61	286	4337
62	289	4306
63	292	4275
64	295	4245
65	297	4216
66	300	4189
67	303	4163
68	306	4134
69	309	4110
70	312	4085
71	315	4060
72	319	4054
73	322	4041
74	326	4029
75	329	4008
76	332	3988
77	335	3970
78	338	3951
79	342	3934
80	345	3916
81	348	3898
82	351	3878
83	353	3858
84	356	3839
85	359	3820
86	362	3801
87	365	3783
88	367	3765
89	370	3747
90	373	3729
91	376	3711
92	378	3693
93	381	3677
94	384	3661
95	387	3644
96	389	3629
97	392	3613
98	395	3596
99	397	3581
100	400	3565
101	403	3552
102	406	3539
103	409	3525
104	411	3510
105	414	3498
106	417	3484
107	420	3471
108	423	3459
109	425	3445
110	428	3433
111	431	3421
112	434	3409
113	437	3403
114	440	3391
115	443	3379
116	446	3368
117	449	3359
118	452	3350
119	455	3341
120	458	3330
121	461	3321
122	464	3312
123	467	3305
124	470	3296
125	473	3286
126	476	3276
127	479	3266
128	482	3256
129	485	3246
130	487	3236
131	490	3228
132	493	3219
133	496	3210
134	499	3200
135	502	3191
136	505	3183
137	508	3174
138	511	3167
139	514	3158
140	517	3149
141	519	3140
142	522	3132
143	525	3124
144	528	3117
145	531	3111
146	534	3102
147	537	3094
148	540	3086
149	543	3077
150	546	3069
151	548	3061
152	551	3054
153	555	3049
154	557	3041
155	560	3033
156	563	3026
157	566	3018
158	569	3011
159	572	3004
160	575	2997
161	577	2988
162	580	2981
163	583	2973
164	586	2966
165	588	2958
166	591	2951
167	594	2945
168	597	2939
169	600	2932
170	603	2925
171	606	2918
172	609	2911
173	611	2904
174	614	2899
175	617	2892
176	620	2885
177	623	2878
178	626	2872
179	629	2866
180	632	2859
181	634	2853
182	637	2847
183	640	2841
184	643	2835
185	646	2829
186	649	2823
187	652	2817
188	655	2810
189	657	2805
190	660	2799
191	663	2793
192	666	2787
193	669	2782
194	672	2776
195	675	2769
196	677	2763
197	680	2757
198	683	2751
199	686	2745
200	689	2739
201	692	2734
202	695	2728
203	697	2722
204	700	2717
205	703	2710
206	706	2705
207	709	2700
208	712	2694
209	714	2688
210	717	2682
211	720	2677
212	723	2671
213	726	2666
214	729	2661
215	731	2656
216	734	2651
217	737	2646
218	740	2641
219	743	2636
220	746	2631
221	749	2626
222	752	2620
223	755	2618
224	760	2619
225	763	2615
226	766	2611
227	770	2608
228	773	2603
229	777	2603
230	783	2606
231	787	2606
232	791	2606
233	796	2606
234	806	2624
235	810	2624
236	827	2665
237	832	2665
238	869	2768
239	877	2779
240	882	2778
241	886	2776
242	893	2784
243	911	2823
244	917	2826
245	923	2830
246	927	2828
247	932	2826
248	958	2889
249	961	2885
250	964	2878
251	967	2872
252	970	2865
253	973	2859
254	976	2852
255	979	2846
256	982	2839
257	985	2833
258	988	2827
259	991	2821
260	994	2815
261	997	2809
262	1000	2803
263	1003	2797
264	1006	2791
265	1009	2785
266	1012	2779
267	1015	2774
268	1018	2768
269	1021	2763
270	1025	2757
271	1028	2751
272	1030	2745
273	1033	2738
274	1037	2736
275	1042	2733
276	1045	2729
277	1048	2723
278	1051	2717
279	1054	2712
280	1057	2706
281	1060	2700
282	1063	2694
283	1066	2688
284	1069	2683
285	1072	2677
286	1075	2671
287	1078	2666
288	1081	2660
289	1084	2654
290	1087	2649
291	1090	2643
292	1092	2637
293	1096	2631
294	1100	2630
295	1103	2624
296	1106	2619
297	1109	2613
298	1112	2607
299	1115	2601
300	1117	2596
301	1120	2590
302	1123	2584
303	1126	2578
304	1129	2573
305	1132	2567
